pais,canal,categoria,ingreso_total,margen_total,ventas,margen_pct
Perú,App,Tecnología,26959450.0,10158490.790000001,7,0.37680630687940597
Chile,Tienda Física,Tecnología,22767300.0,8119124.470000001,5,0.35661340914381595
Chile,App,Tecnología,20588850.0,6497859.86,6,0.31560091311559413
Colombia,Web,Tecnología,15838150.0,5008654.7,6,0.3162398828145964
Colombia,App,Hogar,10544700.0,3443056.33,9,0.3265200840232534
México,Tienda Física,Tecnología,9590400.0,3185700.5,3,0.3321759780613947
México,Web,Tecnología,8444000.0,3463633.51,5,0.4101887150639507
México,App,Tecnología,8215350.0,2558976.66,4,0.3114872354799248
Colombia,Tienda Física,Tecnología,6253200.0,1856716.73,3,0.2969226524019702
México,Web,Hogar,6221400.0,2149599.0700000003,4,0.34551693670235
Colombia,App,Deportes,5854680.0,2458965.6,1,0.42000000000000004
Chile,App,Hogar,5490400.0,1691487.1800000002,2,0.3080808647821653
Chile,Web,Tecnología,4474800.0,1684799.31,2,0.3765082931080719
Perú,Whatsapp,Tecnología,4312350.0,1693951.8599999999,2,0.3928140944032836
Colombia,Web,Hogar,4303050.0,1506412.05,3,0.35008007111235057
México,App,Deportes,3954550.0,1220503.16,7,0.30863262823835835
México,Whatsapp,Tecnología,3864500.0,1448968.95,2,0.37494344675895974
Perú,Tienda Física,Tecnología,3542600.0,1142690.6800000002,2,0.32255707107773957
Colombia,Whatsapp,Hogar,3394700.0,1523287.46,3,0.4487252069402303
Chile,Whatsapp,Deportes,3262850.0,1216006.31,2,0.37268225937447325
México,Web,Deportes,2661800.0,882360.49,5,0.3314901532797355
Chile,Web,Deportes,2654500.0,658874.25,3,0.24821030325861745
Colombia,Tienda Física,Hogar,2484050.0,801510.68,6,0.3226628610535215
Colombia,App,Tecnología,2479500.0,927710.83,2,0.374152381528534
Perú,Whatsapp,Deportes,2413000.0,637894.38,1,0.2643573891421467
México,Tienda Física,Deportes,2380700.0,1113853.8900000001,2,0.46786822783215026
México,App,Hogar,2317550.0,812197.1599999999,3,0.3504550754029039
Colombia,Web,Belleza,2267800.0,747989.1799999999,5,0.32983031131493074
Colombia,Whatsapp,Tecnología,2259200.0,945389.01,1,0.4184618493271955
Perú,App,Moda,2177850.0,959531.6599999999,4,0.4405866611566453
Chile,App,Moda,2109000.0,583109.74,2,0.27648636320531056
Perú,App,Hogar,1867450.0,683812.24,2,0.3661743232750542
México,Tienda Física,Hogar,1770000.0,575642.51,2,0.3252217570621469
Chile,Tienda Física,Deportes,1583550.0,472938.96,1,0.2986574216159894
Perú,Tienda Física,Deportes,1522350.0,568093.82,2,0.37316899530331393
México,Whatsapp,Hogar,1460050.0,488295.26,2,0.3344373548851067
Colombia,Web,Deportes,1356800.0,448070.19,1,0.33024041126179243
Colombia,Web,Moda,1284050.0,401202.28,5,0.312450667808886
Perú,Web,Tecnología,1149600.0,434507.73,1,0.37796427453027137
Chile,App,Deportes,1148550.0,377446.06,1,0.32862832266771147
Chile,Web,Belleza,1148400.0,514875.84,1,0.44834190177638455
Colombia,Whatsapp,Deportes,1142000.0,441253.82,1,0.3863868826619965
México,Tienda Física,Moda,1102600.0,291317.81,3,0.26420987665517864
Perú,Web,Hogar,1054000.0,260468.11,2,0.2471234440227704
México,Whatsapp,Deportes,1036000.0,382152.93,2,0.36887348455598457
México,App,Moda,1002000.0,351156.51,1,0.35045559880239524
Perú,App,Deportes,997000.0,461720.02,2,0.4631093480441324
Perú,App,Belleza,885300.0,282016.67,2,0.318554919236417
Perú,Tienda Física,Moda,883800.0,285745.68,3,0.3233148676171079
Perú,Web,Moda,853900.0,355519.63999999996,2,0.4163480969668579
Colombia,App,Belleza,824450.0,279547.93,3,0.3390720237734247
Perú,Web,Deportes,816500.0,286608.42,2,0.35102072259644823
México,Web,Belleza,732300.0,298732.66000000003,2,0.4079375392598662
Perú,Whatsapp,Hogar,711000.0,251435.17,1,0.3536359634317862
México,Whatsapp,Belleza,696600.0,294431.68,2,0.4226696525983348
Chile,Tienda Física,Belleza,612000.0,231460.43,1,0.37820331699346404
Colombia,Tienda Física,Moda,568300.0,199643.59,3,0.35129964807320074
Colombia,Tienda Física,Belleza,556750.0,172031.57,2,0.30899249214189495
Chile,App,Belleza,465000.0,193868.26,3,0.41692098924731186
México,Web,Moda,377100.0,135446.59,2,0.3591795014584991
Colombia,Tienda Física,Deportes,337200.0,94359.52,2,0.2798325029655991
Chile,Web,Moda,333450.0,112752.66,1,0.33813963112910483
Perú,Whatsapp,Belleza,265500.0,116816.57,1,0.4399870809792844
Perú,Web,Belleza,252000.0,86294.79,2,0.34243964285714285
México,Tienda Física,Belleza,250200.0,100533.95999999999,2,0.4018143884892086
México,App,Belleza,228800.0,99042.81,1,0.43287941433566435
Chile,Whatsapp,Belleza,227200.0,56654.03,1,0.24935752640845069
Colombia,Whatsapp,Moda,97000.0,35788.34,1,0.36895195876288656
